"순서","시설ID","컨텐츠 명","사용유무","테마 타입","x 좌표","y 좌표","좌표 배열","좌표타입","메인 이미지","새 주소","구 주소","우편번호","국가 지점 번호","테마 명","거리","업데이트 일","등록일","이미지 URL1","이미지 URL2","이미지 URL3","이미지 URL4","이미지 URL5","동영상 URL","음성파일 URL","평가 점수","평가자 인원","상세정보 이름 1","상세정보 값 1","상세정보 이름 2","상세정보 값 2","상세정보 이름 3","상세정보 값 3","상세정보 이름 4","상세정보 값 4","상세정보 이름 5","상세정보 값 5","상세정보 이름 6","상세정보 값 6","상세정보 이름 7","상세정보 값 7","상세정보 이름 8","상세정보 값 8","상세정보 이름 9","상세정보 값 9","상세정보 이름 10","상세정보 값 10"
"13","11103419_1646287412553","공기주입기","사용","일반","127.021859956","37.646061763","[127.0218599560770437.64606176254534]","Point","","서울특별시 강북구 한천로160길 40","서울특별시 강북구 수유동 660-30","01049","다사57816083","자전거 편의시설","9452.020944","2022-03-03 15:04:31","2022-03-03 15:04:31","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","수유2동 공영주차장(관리실)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"14","중랑구_공기주입기_15","공기주입기","사용","일반","127.102897933","37.612585480","[127.1028979329427237.612585479717424]","Point","","서울특별시 중랑구 신내역로 20","서울특별시 중랑구 망우동 320-1","02056","다사64955709","자전거 편의시설","13704.739236","2022-03-14 11:10:15","2022-03-14 11:10:15","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"15","중랑구_공기주입기_3","공기주입기","사용","일반","127.096700678","37.592689239","[127.0967006775114437.59268923947803]","Point","","서울특별시 중랑구 봉우재로58길 39","서울특별시 중랑구 망우동 519","02174","다사64395488","자전거 편의시설","12529.913658","2022-03-14 10:46:45","2022-03-14 10:46:45","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"16","11103419_1646287703749","공기주입기","사용","일반","127.025005370","37.639415843","[127.0250053695780137.6394158427692]","Point","","서울특별시 강북구 도봉로89길 13","서울특별시 강북구 수유동 192-59","01071","다사58096009","자전거 편의시설","9053.220671","2022-03-03 15:09:26","2022-03-03 15:09:26","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","강북구청 옹기종기옆(어린이집입구)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"17","중랑구_공기주입기_6","공기주입기","사용","일반","127.084581018","37.617750377","[127.0845810180404137.61775037676756]","Point","","서울특별시 중랑구 신내로23길 57","서울특별시 중랑구 묵동 12","02022","다사63335767","자전거 편의시설","12226.175758","2022-03-14 10:49:17","2022-03-14 10:49:17","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"18","중랑구_공기주입기_35","공기주입기","사용","일반","127.087947433","37.580567365","[127.0879474330405737.580567365287905]","Point","","서울특별시 중랑구 사가정로 390","서울특별시 중랑구 면목동 634-27","02238","다사63615354","자전거 편의시설","11443.619818","2022-03-14 11:31:09","2022-03-14 11:31:09","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"19","중랑구_공기주입기_29","공기주입기","사용","일반","127.077844473","37.611655156","[127.077844472945337.61165515564452]","Point","","서울특별시 중랑구 공릉로 8","서울특별시 중랑구 묵동 189-5","02037","다사62745699","자전거 편의시설","11356.299409","2022-03-14 11:23:47","2022-03-14 11:23:47","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","상세위치(예 OO동 주민센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"20","11103419_1646288047576","공기주입기","사용","일반","127.015026173","37.641468599","[127.0150261728564237.64146859861809]","Point","","서울특별시 강북구 삼양로107길 30","서울특별시 강북구 수유동 349-3","01034","다사57216033","자전거 편의시설","8720.532820","2022-03-03 15:15:36","2022-03-03 15:15:36","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","가오리 공영주차장(관리실)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"21","11103419_1646272456551","공기주입기","사용","일반","127.038837745","37.627259835","[127.0388377449150637.62725983527558]","Point","","서울특별시 강북구 오현로 180","서울특별시 강북구 번동 138","01223","다사59305874","자전거 편의시설","8998.412643","2022-03-03 10:55:21","2022-03-03 10:55:21","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","번동 한솔파크아파트(경로당)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"22","11103419_1646272508966","공기주입기","사용","일반","127.045245321","37.626500539","[127.045245321338737.62650053889294]","Point","","서울특별시 강북구 한천로105길 24","서울특별시 강북구 번동 241","01229","다사59875865","자전거 편의시설","9415.379709","2022-03-03 10:56:06","2022-03-03 10:56:06","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","번동 주공2단지","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"23","11103419_1646272558502","공기주입기","사용","일반","127.036544985","37.636958272","[127.0365449854879437.63695827165608]","Point","","서울특별시 도봉구 우이천로 192","서울특별시 도봉구 창동 737-7","01472","다사59105982","자전거 편의시설","9553.253433","2022-03-03 10:57:00","2022-03-03 10:57:00","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","우이제3교","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"24","11103419_1646282726832","공기주입기","사용","일반","127.037109987","37.613933508","[127.0371099865006437.61393350849254]","Point","","서울특별시 강북구 월계로21가길 13","서울특별시 강북구 미아동 1355","01236","다사59145726","자전거 편의시설","7983.751168","2022-03-03 13:46:32","2022-03-03 13:46:32","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","한일유엔아이아파트(정문경비실)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"25","11103419_1646281865822","공기주입기","사용","일반","127.013958676","37.617416494","[127.0139586759743537.61741649380319]","Point","","서울특별시 강북구 솔샘로 174","서울특별시 강북구 미아동 1353","01192","다사57105766","자전거 편의시설","6617.367782","2022-03-03 13:32:10","2022-03-03 13:32:10","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","SK북한산시티아파트(119동경비실)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"26","11103419_1646287152162","공기주입기","사용","일반","127.013144275","37.631095467","[127.0131442753803437.63109546688132]","Point","","서울특별시 강북구 인수봉로 127","서울특별시 강북구 수유동 468-43","01095","다사57045918","자전거 편의시설","7720.131022","2022-03-03 15:00:10","2022-03-03 15:00:10","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","혜화여고","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"27","관악 공기주입기03","공기주입기","사용","일반","126.930090089","37.484511459","[126.930090088610637.48451145928153]","Point","","서울특별시 관악구 남부순환로 1615","서울특별시 관악구 신림동 1422-42","08754","다사49614296","자전거 편의시설","9127.921613","2022-03-03 15:22:40","2022-03-03 15:22:40","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","지하철역|","신림역 8번출구","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"28","11103419_1646281698322","공기주입기","사용","일반","127.020017649","37.615269063","[127.020017649061437.615269063372736]","Point","","서울특별시 강북구 삼양로19길 47","서울특별시 강북구 미아동 813","01200","다사57635742","자전거 편의시설","6831.764863","2022-03-03 13:29:22","2022-03-03 13:29:22","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","삼각산아이원임대아파트(정문경비실)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"29","11103419_1646286985231","공기주입기","사용","일반","127.024032080","37.618303689","[127.0240320796867337.61830368860521]","Point","","서울특별시 강북구 솔샘로 284","서울특별시 강북구 미아동 860-116","01202","다사57995775","자전거 편의시설","7325.823841","2022-03-03 14:57:31","2022-03-03 14:57:31","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","송천동 응달마을어린이공원","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"30","관악 공기주입기13","공기주입기","사용","일반","126.926303766","37.484136918","[126.926303766244437.48413691765757]","Point","","서울특별시 관악구 남부순환로 1583","서울특별시 관악구 신림동 1471-5","08759","다사49274292","자전거 편의시설","9350.831417","2022-03-03 15:44:39","2022-03-03 15:44:39","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","기타|공원|","상세위치(자전거종합센터)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"31","관악 공기주입기16","공기주입기","사용","일반","126.919110000","37.485990000","[126.9191137.48599]","Point","","서울특별시 관악구 조원로 151-1","서울특별시 관악구 신림동 480-21","08704","다사48644313","자전거 편의시설","9590.973790","2022-03-03 15:50:42","2022-03-03 15:50:42","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","관공서|","상세위치(신사동 자치회관","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"32","11103419_1646281400920","공기주입기","사용","일반","127.020721183","37.615109682","[127.0207211832751337.61510968151048]","Point","","서울특별시 강북구 삼양로19길 34","서울특별시 강북구 미아동 813-3","01199","다사57705740","자전거 편의시설","6866.803267","2022-03-03 13:24:24","2022-03-03 13:24:24","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","주민센터|","삼각산동주민센터","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"33","11103419_1646281599018","공기주입기","사용","일반","127.009320618","37.619691209","[127.0093206183697337.61969120933992]","Point","","서울특별시 강북구 솔샘로 159","서울특별시 강북구 미아동 1354-1","01191","다사56695791","자전거 편의시설","6545.043406","2022-03-03 13:27:44","2022-03-03 13:27:44","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","벽산라이브 임대아파트(솔샘경로당)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
"34","11103419_1646281784919","공기주입기","사용","일반","127.012706052","37.621404264","[127.0127060524170937.621404263954254]","Point","","서울특별시 강북구 인수봉로 18","서울특별시 강북구 미아동 1354-2","01186","다사56995810","자전거 편의시설","6872.329169","2022-03-03 13:30:48","2022-03-03 13:30:48","","","","","","","","","","운영시간 (예. 00:00 ~ 00:00)","","설치지역","","벽산라이브아파트(신한은행CD기옆)","","설치유형(*공기주입기와 주차장 만 선택하세요.)","기계식|","설치/이용가능대수(예 00대)","","운영형태(*수리센터만 선택하세요.)","","수리범위(*수리센터만 선택하고 예 경정비 무상 부품교체 실비 등.)","","이동수리센터 순회일정(*이동수리센터만 입력 예) 자치구 순회일정 안내 게시판 링크)","","유의사항(예 O0학교 운영시간 외 이용불가 )","","",""
